Entity,Code,Year,Richest 1%,Next 9%,Middle 40%,Poorest 50%,Life expectancy
Afghanistan,AFG,2008,15.87,25.099998,39.92,19.11,59.7081
Afghanistan,AFG,2012,13.56,24.3,41.170002,20.98,61.7349
Afghanistan,AFG,2017,15.39,25.04,39.809998,19.76,62.4062
Afghanistan,AFG,2022,15.54,25.0,39.739998,19.72,65.617
Afghanistan,AFG,2023,15.16,25.11,39.92,19.81,66.0346
Albania,ALB,1996,8.09,23.95,48.4,19.56,74.1134
Albania,ALB,2002,8.25,24.6,48.36,18.79,75.2987
Albania,ALB,2005,8.03,24.18,48.460003,19.33,76.4266
Albania,ALB,2008,8.14,23.74,48.460003,19.65,78.2484
Albania,ALB,2012,8.58,24.070002,47.72,19.63,78.0836
Albania,ALB,2015,9.64,25.9,46.42,18.05,78.358
Albania,ALB,2016,9.5,25.39,47.06,18.04,78.6433
Albania,ALB,2017,9.62,25.34,46.98,18.06,78.9003
Albania,ALB,2018,9.5,25.279999,47.1,18.11,79.2377
Albania,ALB,2022,9.09,25.11,47.47,18.32,78.7688
Albania,ALB,2023,9.17,25.18,47.37,18.28,79.6019
Algeria,DZA,1988,15.44,30.230001,37.48,16.84,66.9097
Algeria,DZA,1989,15.36,30.46,37.41,16.78,67.4609
Algeria,DZA,1990,16.04,30.019999,37.26,16.69,67.6584
Algeria,DZA,1991,15.05,32.13,36.489998,16.33,67.6919
Algeria,DZA,1992,15.72,30.109999,37.42,16.75,67.7245
Algeria,DZA,1993,15.52,31.64,36.46,16.37,67.7974
Algeria,DZA,1994,14.09,37.13,33.67,15.1,67.2844
Algeria,DZA,1995,15.22,32.38,36.18,16.23,67.6914
Algeria,DZA,1996,15.61,30.199999,37.39,16.8,68.2186
Algeria,DZA,1997,15.42,31.999998,36.289997,16.3,68.8594
Algeria,DZA,1998,15.71,30.35,37.23,16.72,69.3271
Algeria,DZA,1999,15.69,30.21,37.35,16.74,70.0881
Algeria,DZA,2000,15.29,32.460003,36.05,16.21,70.5759
Algeria,DZA,2001,15.21,31.650002,36.66,16.48,71.0245
Algeria,DZA,2002,18.18,29.23,36.3,16.29,71.6437
Algeria,DZA,2003,17.2,30.08,36.379997,16.34,71.9064
Algeria,DZA,2004,15.57,30.320002,37.35,16.75,72.5359
Algeria,DZA,2005,15.56,30.250002,37.39,16.8,72.836
Algeria,DZA,2006,15.38,31.2,36.87,16.55,73.1164
Algeria,DZA,2007,14.87,33.34,35.210003,16.58,73.346
Algeria,DZA,2008,15.59,29.97,36.52,17.92,73.6181
Algeria,DZA,2009,16.24,28.76,36.39,18.62,73.8711
Algeria,DZA,2010,16.14,27.98,36.469997,19.41,74.1435
Algeria,DZA,2011,15.95,26.769999,36.94,20.34,74.3834
Algeria,DZA,2022,23.74,25.86,32.63,17.76,76.1289
Algeria,DZA,2023,22.64,26.12,33.18,18.07,76.261
Andorra,AND,1980,9.08,23.14,47.32,20.46,77.1371
Andorra,AND,1981,9.05,23.17,47.33,20.45,77.3915
Andorra,AND,1982,9.02,23.16,47.510002,20.32,77.6174
Andorra,AND,1983,9.13,23.17,47.19,20.51,77.7865
Andorra,AND,1984,9.34,23.32,47.03,20.31,77.9159
Andorra,AND,1985,9.37,23.5,47.24,19.89,78.006
Andorra,AND,1986,9.34,23.18,47.3,20.17,78.1066
Andorra,AND,1987,9.27,23.23,47.19,20.31,78.1885
Andorra,AND,1988,9.33,23.109999,46.74,20.82,78.3641
Andorra,AND,1989,9.43,23.17,46.69,20.71,78.5571
Andorra,AND,1990,9.22,23.28,46.56,20.93,78.9608
Andorra,AND,1991,9.14,23.16,46.64,21.05,79.3458
Andorra,AND,1992,9.51,23.69,46.239998,20.55,79.7941
Andorra,AND,1993,9.63,23.82,46.67,19.88,80.186
Andorra,AND,1994,10.07,24.1,46.45,19.37,80.5868
Andorra,AND,1995,9.75,24.11,46.59,19.56,80.8037
Andorra,AND,1996,10.08,23.95,46.44,19.53,81.009
Andorra,AND,1997,10.68,24.13,45.989998,19.19,81.1446
Andorra,AND,1998,10.81,24.14,45.789997,19.26,81.2803
Andorra,AND,1999,10.88,24.11,45.76,19.24,81.5505
Andorra,AND,2000,11.3,24.27,45.52,18.92,81.8633
Andorra,AND,2001,10.86,24.250002,45.96,18.93,82.1618
Andorra,AND,2002,10.5,24.11,46.2,19.19,82.4485
Andorra,AND,2003,10.75,24.01,46.37,18.87,82.7183
Andorra,AND,2004,11.16,23.88,46.88,18.08,82.8153
Andorra,AND,2005,11.34,23.94,46.399998,18.32,83.086
Andorra,AND,2006,12.0,23.980001,45.87,18.16,83.3745
Andorra,AND,2007,11.98,24.089998,45.52,18.4,83.6324
Andorra,AND,2008,10.78,23.46,46.6,19.16,83.8546
Andorra,AND,2009,9.88,23.6,47.02,19.5,84.0997
Andorra,AND,2010,10.93,24.21,46.43,18.43,84.1974
Andorra,AND,2011,10.88,24.18,46.62,18.33,84.2965
Andorra,AND,2012,10.25,24.150002,47.170002,18.44,84.3339
Andorra,AND,2013,10.4,24.23,47.170002,18.19,84.4065
Andorra,AND,2014,10.85,24.240002,46.85,18.06,84.4853
Andorra,AND,2015,10.66,24.330002,46.92,18.09,84.5316
Andorra,AND,2016,10.77,24.36,46.69,18.19,84.4885
Andorra,AND,2017,10.78,24.5,46.41,18.32,84.3595
Andorra,AND,2018,10.83,24.42,46.27,18.49,84.2416
Andorra,AND,2019,10.49,24.529999,46.309998,18.68,84.098
Andorra,AND,2020,10.58,24.28,46.54,18.6,79.4177
Andorra,AND,2021,11.4,24.13,46.03,18.44,82.3311
Andorra,AND,2022,11.5,24.169998,45.85,18.49,84.0164
Andorra,AND,2023,11.5,24.169998,45.85,18.49,84.0406
Angola,AGO,1995,22.74,35.94,32.06,9.26,46.1391
Angola,AGO,2000,22.16,36.33,32.2,9.31,46.5005
Angola,AGO,2008,15.16,33.69,38.09,13.06,55.2809
Angola,AGO,2018,26.09,31.76,32.68,9.48,62.6219
Angola,AGO,2022,25.87,31.85,32.780003,9.51,64.2455
Angola,AGO,2023,25.86,31.86,32.780003,9.51,64.617
Anguilla,AIA,1980,23.75,32.190002,35.870003,8.19,68.919
Anguilla,AIA,1981,23.64,32.29,35.9,8.16,69.2531
Anguilla,AIA,1982,23.53,32.4,35.94,8.13,69.5705
Anguilla,AIA,1983,23.42,32.51,35.969997,8.1,69.8947
Anguilla,AIA,1984,23.31,32.61,36.01,8.07,70.1622
Anguilla,AIA,1985,23.19,32.73,36.039997,8.03,70.4311
Anguilla,AIA,1986,23.07,32.85,36.09,8.0,70.7542
Anguilla,AIA,1987,22.95,32.960003,36.12,7.96,71.0717
Anguilla,AIA,1988,22.83,33.08,36.16,7.93,71.3964
Anguilla,AIA,1989,22.71,33.21,36.210003,7.86,71.7765
Anguilla,AIA,1990,22.58,33.34,36.26,7.83,72.0868
Anguilla,AIA,1991,22.57,33.23,36.3,7.89,72.4463
Anguilla,AIA,1992,22.55,33.149998,36.37,7.93,72.7807
Anguilla,AIA,1993,22.54,33.059998,36.44,7.97,73.12
Anguilla,AIA,1994,22.53,32.969997,36.489998,8.0,73.4412
Anguilla,AIA,1995,22.52,32.879997,36.559998,8.04,73.7432
Anguilla,AIA,1996,22.51,32.8,36.62,8.07,74.0452
Anguilla,AIA,1997,22.5,32.710003,36.68,8.11,74.3392
Anguilla,AIA,1998,22.49,32.63,36.73,8.14,74.6097
Anguilla,AIA,1999,22.48,32.55,36.8,8.18,74.8918
Anguilla,AIA,2000,22.47,32.47,36.86,8.21,75.1471
Anguilla,AIA,2001,22.31,32.460003,36.98,8.26,75.3965
Anguilla,AIA,2002,22.16,32.440002,37.09,8.3,75.6564
Anguilla,AIA,2003,22.02,32.43,37.22,8.35,75.8948
Anguilla,AIA,2004,21.89,32.41,37.31,8.39,76.1355
Anguilla,AIA,2005,21.76,32.4,37.41,8.43,76.3362
Anguilla,AIA,2006,21.64,32.39,37.5,8.46,76.5687
Anguilla,AIA,2007,21.53,32.370003,37.6,8.5,76.7519
Anguilla,AIA,2008,21.42,32.36,37.69,8.53,76.9019
Anguilla,AIA,2009,21.31,32.350002,37.77,8.57,77.0431
Anguilla,AIA,2010,21.21,32.34,37.86,8.6,77.2078
Anguilla,AIA,2011,21.2,31.830002,37.8,9.17,77.3048
Anguilla,AIA,2012,21.2,31.32,37.75,9.74,77.4058
Anguilla,AIA,2013,21.2,30.8,37.69,10.3,77.6236
Anguilla,AIA,2014,21.2,30.3,37.65,10.86,77.6962
Anguilla,AIA,2015,21.19,29.800001,37.59,11.41,77.7411
Anguilla,AIA,2016,21.19,29.300001,37.55,11.97,77.8764
Anguilla,AIA,2017,21.19,28.8,37.49,12.51,77.1738
Anguilla,AIA,2018,21.18,28.32,37.44,13.06,78.2359
Anguilla,AIA,2019,21.18,27.83,37.41,13.6,78.4253
Anguilla,AIA,2020,21.2,27.37,37.38,14.06,78.6562
Anguilla,AIA,2021,21.2,27.37,37.38,14.06,78.4144
Anguilla,AIA,2022,21.2,27.37,37.38,14.06,79.1194
Anguilla,AIA,2023,21.2,27.37,37.38,14.06,79.3115
Antigua and Barbuda,ATG,1980,23.75,32.190002,35.870003,8.19,73.0936
Antigua and Barbuda,ATG,1981,23.64,32.29,35.9,8.16,73.3205
Antigua and Barbuda,ATG,1982,23.53,32.4,35.94,8.13,73.5245
Antigua and Barbuda,ATG,1983,23.42,32.51,35.969997,8.1,73.6838
Antigua and Barbuda,ATG,1984,23.31,32.61,36.01,8.07,73.8077
Antigua and Barbuda,ATG,1985,23.19,32.73,36.039997,8.03,73.8727
Antigua and Barbuda,ATG,1986,23.07,32.85,36.09,8.0,73.8927
Antigua and Barbuda,ATG,1987,22.95,32.960003,36.12,7.96,73.8734
Antigua and Barbuda,ATG,1988,22.83,33.08,36.16,7.93,73.8107
Antigua and Barbuda,ATG,1989,22.71,33.21,36.210003,7.86,73.6281
Antigua and Barbuda,ATG,1990,22.58,33.34,36.26,7.83,73.6024
