Entity,Code,Year,Richest 1%,Next 9%,Middle 40%,Poorest 50%,Life expectancy
Zimbabwe,ZWE,2023,17.29,34.66,35.789997,12.26,62.7748
Yemen,YEM,2023,24.81,34.25,30.779999,10.16,69.2952
Finland,FIN,2023,11.23,22.589998,43.34,22.84,81.9102
Turks and Caicos Islands,TCA,2023,21.2,27.37,37.38,14.06,78.0077
France,FRA,2023,12.13,22.18,45.190002,20.49,83.3253
Tuvalu,TUV,2023,16.03,32.38,35.460003,16.12,67.1049
French Polynesia,PYF,2023,16.03,32.38,35.460003,16.12,84.0698
Gabon,GAB,2023,10.89,31.94,41.81,15.36,68.3367
Fiji,FJI,2023,16.03,32.38,35.460003,16.12,67.3157
Somalia,SOM,2023,16.04,32.49,36.48,14.98,58.8158
Albania,ALB,2023,9.17,25.18,47.37,18.28,79.6019
Algeria,DZA,2023,22.64,26.12,33.18,18.07,76.261
Serbia,SRB,2023,13.04,23.79,46.99,16.18,76.7693
Seychelles,SYC,2023,21.54,30.65,34.940002,12.86,72.862
Sierra Leone,SLE,2023,14.78,31.46,37.4,16.37,61.7858
Mauritania,MRT,2023,9.8,29.49,42.32,18.39,68.4836
Mauritius,MUS,2023,15.73,31.04,37.25,15.98,74.9263
Malta,MLT,2023,8.87,22.56,46.36,22.2,83.2989
Uruguay,URY,2023,14.78,31.189999,39.26,14.76,78.1385
Uzbekistan,UZB,2023,17.53,28.060001,38.83,15.58,72.3884
Cameroon,CMR,2023,13.13,34.0,39.649998,13.22,63.6996
Canada,CAN,2023,11.91,24.56,46.27,17.25,82.6302
Cape Verde,CPV,2023,13.77,34.81,38.16,13.26,76.0587
Marshall Islands,MHL,2023,16.03,32.38,35.460003,16.12,66.9454
Madagascar,MDG,2023,15.02,35.24,36.41,13.34,63.6317
Malawi,MWI,2023,15.02,32.789997,37.13,15.07,67.3535
Malaysia,MYS,2023,14.6,24.84,41.5,19.05,76.6571
Cayman Islands,CYM,2023,21.2,27.37,37.38,14.06,80.3576
Central African Republic,CAF,2023,15.44,34.46,37.12,12.98,57.4077
Maldives,MDV,2023,12.98,25.81,41.36,19.85,81.0412
Moldova,MDA,2023,10.68,23.46,47.04,18.82,71.1985
Sudan,SDN,2023,15.11,29.210001,38.58,17.09,66.331
British Virgin Islands,VGB,2023,21.2,27.37,37.38,14.06,77.2758
Brunei,BRN,2023,12.93,22.8,42.77,21.5,75.3266
Bulgaria,BGR,2023,17.06,24.5,40.18,18.26,75.6363
Burkina Faso,BFA,2023,14.52,32.34,37.52,15.61,61.092
Burundi,BDI,2023,14.28,32.16,37.97,15.59,63.6511
Cambodia,KHM,2023,19.04,26.97,40.01,13.98,70.6675
Suriname,SUR,2023,17.87,33.94,37.81,10.37,73.631
Mali,MLI,2023,11.93,32.3,39.36,16.41,60.4394
Liechtenstein,LIE,2023,11.5,24.169998,45.85,18.49,83.6298
Lithuania,LTU,2023,9.48,24.94,45.91,19.67,76.025
Sweden,SWE,2023,10.83,19.76,44.88,24.53,83.2624
Luxembourg,LUX,2023,13.66,22.77,44.5,19.07,82.2294
United States,USA,2023,20.73,26.03,39.8,13.44,79.3043
Macao,MAC,2023,14.46,27.810001,43.53,14.21,83.0749
Latvia,LVA,2023,10.69,24.22,45.77,19.31,76.1898
Lebanon,LBN,2023,21.17,33.94,33.64,11.25,77.817
Lesotho,LSO,2023,14.33,34.78,38.92,11.97,57.3749
Chad,TCD,2023,12.63,33.09,38.530003,15.75,55.0692
Chile,CHL,2023,22.04,35.72,33.559998,8.68,81.1667
China,CHN,2023,15.77,27.599998,42.899998,13.73,77.9529
Montenegro,MNE,2023,9.93,26.01,47.510002,16.55,77.0869
Mexico,MEX,2023,21.58,38.05,32.81,7.56,75.069
Micronesia (country),FSM,2023,16.03,32.38,35.460003,16.12,67.1983
Brazil,BRA,2023,21.13,38.08,31.66,9.12,75.8482
Sri Lanka,LKA,2023,21.39,27.95,35.36,15.29,77.4828
Mozambique,MOZ,2023,24.65,34.8,30.419998,10.13,63.6111
Myanmar,MMR,2023,16.63,26.13,39.739998,17.5,66.889
Spain,ESP,2023,12.04,21.69,43.83,22.43,83.6703
Monaco,MCO,2023,11.5,24.169998,45.85,18.49,86.3724
Vanuatu,VUT,2023,16.03,32.38,35.460003,16.12,71.4769
Venezuela,VEN,2023,17.87,33.94,37.81,10.37,72.5142
Bosnia and Herzegovina,BIH,2023,9.38,24.65,47.48,18.49,77.8504
Botswana,BWA,2023,22.67,36.26,32.38,8.69,69.1631
Mongolia,MNG,2023,16.06,26.339998,41.25,16.36,71.7341
Liberia,LBR,2023,12.0,30.59,40.76,16.65,62.1625
Libya,LBY,2023,16.77,29.820002,36.92,16.49,69.3389
Switzerland,CHE,2023,10.08,20.16,45.899998,23.86,83.9536
Syria,SYR,2023,21.3,33.809998,33.11,11.78,72.1201
Laos,LAO,2023,20.33,28.39,37.37,13.91,68.9637
Colombia,COL,2023,17.94,42.989998,32.690002,6.38,77.7246
