Entity,Code,Year,Richest 1%,Next 9%,Middle 40%,Poorest 50%
Afghanistan,AFG,2008,15.87,25.099998,39.92,19.11
Afghanistan,AFG,2012,13.56,24.3,41.170002,20.98
Afghanistan,AFG,2017,15.39,25.04,39.809998,19.76
Afghanistan,AFG,2022,15.54,25,39.739998,19.72
Afghanistan,AFG,2023,15.16,25.11,39.92,19.81
Africa (WID),,1980,20.61,37.38,34.48,7.52
Africa (WID),,1981,19.96,37.3,35.120003,7.62
Africa (WID),,1982,20.09,37.14,35.2,7.57
Africa (WID),,1983,22.15,35.870003,34.51,7.47
Africa (WID),,1984,20.36,36.92,35.29,7.43
Africa (WID),,1985,20.35,37.04,35.260002,7.34
Africa (WID),,1986,20.24,36.53,35.64,7.6
Africa (WID),,1987,19.83,36.51,35.93,7.72
Africa (WID),,1988,19.72,36.559998,36.09,7.62
Africa (WID),,1989,19.79,36.64,35.94,7.63
Africa (WID),,1990,19.58,36.59,36.129997,7.71
Africa (WID),,1991,20.08,36.59,35.710003,7.61
Africa (WID),,1992,19.85,36.55,36.05,7.55
Africa (WID),,1993,19.76,36.17,36.39,7.68
Africa (WID),,1994,20.43,36.03,36.039997,7.5
Africa (WID),,1995,20.34,35.94,36.23,7.48
Africa (WID),,1996,20.45,36.039997,35.8,7.71
Africa (WID),,1997,21.02,35.92,35.280003,7.78
Africa (WID),,1998,21.1,35.789997,35.100002,8.01
Africa (WID),,1999,21.54,35.67,34.63,8.15
Africa (WID),,2000,21.95,35.55,34.41,8.07
Africa (WID),,2001,21.72,35.690002,34.47,8.13
Africa (WID),,2002,21.94,35.440002,34.46,8.16
Africa (WID),,2003,21.84,35.54,34.4,8.22
Africa (WID),,2004,21.64,35.58,34.45,8.34
Africa (WID),,2005,21.45,35.56,34.53,8.46
Africa (WID),,2006,21.97,35.38,34.21,8.45
Africa (WID),,2007,22.1,35.22,34.2,8.47
Africa (WID),,2008,21.56,34.96,34.89,8.59
Africa (WID),,2009,20.8,34.84,35.58,8.77
Africa (WID),,2010,20.53,34.79,35.86,8.82
Africa (WID),,2011,20.25,34.65,36.1,9
Africa (WID),,2012,21.28,34.51,35.31,8.9
Africa (WID),,2013,21.36,34.5,35.210003,8.93
Africa (WID),,2014,21.37,34.18,35.32,9.13
Africa (WID),,2015,21.32,34.2,35.33,9.15
Africa (WID),,2016,21.25,34.19,35.4,9.15
Africa (WID),,2017,21.09,34.01,35.61,9.28
Africa (WID),,2018,21.44,33.66,35.52,9.39
Africa (WID),,2019,21.18,33.66,35.67,9.48
Africa (WID),,2020,20.71,33.79,36,9.5
Africa (WID),,2021,21.2,33.88,35.58,9.33
Africa (WID),,2022,20.93,34.07,35.690002,9.32
Africa (WID),,2023,20.75,34.35,35.66,9.24
Albania,ALB,1996,8.09,23.95,48.4,19.56
Albania,ALB,2002,8.25,24.6,48.36,18.79
Albania,ALB,2005,8.03,24.18,48.460003,19.33
Albania,ALB,2008,8.14,23.74,48.460003,19.65
Albania,ALB,2012,8.58,24.070002,47.72,19.63
Albania,ALB,2015,9.64,25.9,46.42,18.05
Albania,ALB,2016,9.5,25.39,47.06,18.04
Albania,ALB,2017,9.62,25.34,46.98,18.06
Albania,ALB,2018,9.5,25.279999,47.1,18.11
Albania,ALB,2022,9.09,25.11,47.47,18.32
Albania,ALB,2023,9.17,25.18,47.37,18.28
Algeria,DZA,1988,15.44,30.230001,37.48,16.84
Algeria,DZA,1989,15.36,30.46,37.41,16.78
Algeria,DZA,1990,16.04,30.019999,37.26,16.69
Algeria,DZA,1991,15.05,32.13,36.489998,16.33
Algeria,DZA,1992,15.72,30.109999,37.42,16.75
Algeria,DZA,1993,15.52,31.64,36.46,16.37
Algeria,DZA,1994,14.09,37.13,33.67,15.1
Algeria,DZA,1995,15.22,32.38,36.18,16.23
Algeria,DZA,1996,15.61,30.199999,37.39,16.8
Algeria,DZA,1997,15.42,31.999998,36.289997,16.3
Algeria,DZA,1998,15.71,30.35,37.23,16.72
Algeria,DZA,1999,15.69,30.21,37.35,16.74
Algeria,DZA,2000,15.29,32.460003,36.05,16.21
Algeria,DZA,2001,15.21,31.650002,36.66,16.48
Algeria,DZA,2002,18.18,29.23,36.3,16.29
Algeria,DZA,2003,17.2,30.08,36.379997,16.34
Algeria,DZA,2004,15.57,30.320002,37.35,16.75
Algeria,DZA,2005,15.56,30.250002,37.39,16.8
Algeria,DZA,2006,15.38,31.2,36.87,16.55
Algeria,DZA,2007,14.87,33.34,35.210003,16.58
Algeria,DZA,2008,15.59,29.97,36.52,17.92
Algeria,DZA,2009,16.24,28.76,36.39,18.62
Algeria,DZA,2010,16.14,27.98,36.469997,19.41
Algeria,DZA,2011,15.95,26.769999,36.94,20.34
Algeria,DZA,2022,23.74,25.86,32.63,17.76
Algeria,DZA,2023,22.64,26.12,33.18,18.07
Andorra,AND,1980,9.08,23.14,47.32,20.46
Andorra,AND,1981,9.05,23.17,47.33,20.45
Andorra,AND,1982,9.02,23.16,47.510002,20.32
Andorra,AND,1983,9.13,23.17,47.19,20.51
Andorra,AND,1984,9.34,23.32,47.03,20.31
Andorra,AND,1985,9.37,23.5,47.24,19.89
Andorra,AND,1986,9.34,23.18,47.3,20.17
Andorra,AND,1987,9.27,23.23,47.19,20.31
Andorra,AND,1988,9.33,23.109999,46.74,20.82
Andorra,AND,1989,9.43,23.17,46.69,20.71
Andorra,AND,1990,9.22,23.28,46.56,20.93
Andorra,AND,1991,9.14,23.16,46.64,21.05
Andorra,AND,1992,9.51,23.69,46.239998,20.55
Andorra,AND,1993,9.63,23.82,46.67,19.88
Andorra,AND,1994,10.07,24.1,46.45,19.37
Andorra,AND,1995,9.75,24.11,46.59,19.56
Andorra,AND,1996,10.08,23.95,46.44,19.53
